"File","Signature","Contribution"
"7316-1774.vcf.gz","SBS1",368186.969693916
"7316-1774.vcf.gz","SBS2",12756.3855001337
"7316-1774.vcf.gz","SBS3",0
"7316-1774.vcf.gz","SBS4",0
"7316-1774.vcf.gz","SBS5",2283501.37662045
"7316-1774.vcf.gz","SBS6",0
"7316-1774.vcf.gz","SBS7a",0
"7316-1774.vcf.gz","SBS7b",0
"7316-1774.vcf.gz","SBS7c",8886.51038241014
"7316-1774.vcf.gz","SBS7d",0
"7316-1774.vcf.gz","SBS8",0
"7316-1774.vcf.gz","SBS9",67738.289182002
"7316-1774.vcf.gz","SBS10a",0
"7316-1774.vcf.gz","SBS10b",0
"7316-1774.vcf.gz","SBS10c",0
"7316-1774.vcf.gz","SBS10d",0
"7316-1774.vcf.gz","SBS11",0
"7316-1774.vcf.gz","SBS12",0
"7316-1774.vcf.gz","SBS13",0
"7316-1774.vcf.gz","SBS14",0
"7316-1774.vcf.gz","SBS15",0
"7316-1774.vcf.gz","SBS16",0
"7316-1774.vcf.gz","SBS17a",31146.3064423456
"7316-1774.vcf.gz","SBS17b",0
"7316-1774.vcf.gz","SBS18",0
"7316-1774.vcf.gz","SBS19",48464.2319641334
"7316-1774.vcf.gz","SBS20",11183.3210402072
"7316-1774.vcf.gz","SBS21",0
"7316-1774.vcf.gz","SBS22",0
"7316-1774.vcf.gz","SBS23",0
"7316-1774.vcf.gz","SBS24",0
"7316-1774.vcf.gz","SBS25",0
"7316-1774.vcf.gz","SBS26",484911.535062268
"7316-1774.vcf.gz","SBS28",8898.28127638484
"7316-1774.vcf.gz","SBS29",0
"7316-1774.vcf.gz","SBS30",0
"7316-1774.vcf.gz","SBS31",0
"7316-1774.vcf.gz","SBS32",223021.443549563
"7316-1774.vcf.gz","SBS33",131925.575983291
"7316-1774.vcf.gz","SBS34",28754.6897502798
"7316-1774.vcf.gz","SBS35",0
"7316-1774.vcf.gz","SBS36",0
"7316-1774.vcf.gz","SBS37",25468.1124179948
"7316-1774.vcf.gz","SBS38",0
"7316-1774.vcf.gz","SBS39",85533.1310334031
"7316-1774.vcf.gz","SBS40",0
"7316-1774.vcf.gz","SBS41",0
"7316-1774.vcf.gz","SBS42",0
"7316-1774.vcf.gz","SBS44",1763.23087495598
"7316-1774.vcf.gz","SBS84",0
"7316-1774.vcf.gz","SBS85",10248.8224576773
"7316-1774.vcf.gz","SBS86",0
"7316-1774.vcf.gz","SBS87",91703.1146608894
"7316-1774.vcf.gz","SBS88",0
"7316-1774.vcf.gz","SBS89",264529.688515308
"7316-1774.vcf.gz","SBS90",0
"7316-1774.vcf.gz","SBS91",0
"7316-1774.vcf.gz","SBS92",0
"7316-1774.vcf.gz","SBS93",0
"7316-1774.vcf.gz","SBS94",0
