Signature,7316-1085,7316-1099,7316-1106,7316-116,7316-161,7316-1746,7316-1763,7316-1946,7316-195,7316-1956,7316-204,7316-2152,7316-2176,7316-2274,7316-2594,7316-2756,7316-2781,7316-2784,7316-2857,7316-3030,7316-3075,7316-343,7316-3625,7316-3765,7316-3769,7316-3771,7316-388,7316-392,7316-3935,7316-409,7316-445,7316-4466,7316-466,7316-515,7316-85,SM_2819,SM_2907,SM_3375,SM_3623,SM_3787,SM4278,SM4279,SM4280,SM4281
SBS20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207.67611107591,1403.00592640959,2015.65037129725,1138.82164970731,1905.20166090177,2565.25975137872,3139.87752552318,7000.73778558053,7015.75202928548
SBS22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707.193756474882,0,0,0,0,1919.04669058875,1927.76758297452,0,2849.18802091636,4021.18566117944,9047.38612484559,14301.5284666565,12115.3588695644
SBS24,263.893529288627,0,0,48.4537001462876,868.179275670355,753.929064575961,322.688019533518,205.186808571938,79.3796773939866,0,0,1103.92033071074,619.514456643964,0,0,509.64585499448,746.152418960712,38.4361565479851,137.818161162327,386.834869673154,0,37.5542459167621,699.718339884068,148.513122685727,0,295.632511060154,937.460230550412,97.719652915823,0,0,1339.8640820302,0,105.421341992233,0,1144.74529172288,8658.17917291226,5083.58691500224,8630.423908875,7514.00796893449,10770.802278589,5205.10477645832,6408.16555318402,6601.83905786538,6867.93065174823
SBS7b,466.127219901081,2138.3949886844,2609.02652198057,2392.12860736716,2589.70735959417,2891.77522829565,2685.29380598261,1168.54606762143,2124.47957802791,2576.99360935738,1911.93481605834,3083.71677096862,2098.23924208004,684.80131996415,2590.44013378565,531.811332664777,2366.53862063901,355.08530950865,340.494143441021,2386.3277237901,2592.14487640462,956.631095139739,2315.35943725634,212.544206160468,765.858831125206,309.095918366668,2338.76640810926,167.579013241771,131.983566335518,2882.38265139859,3103.71593102301,3050.64447371848,2333.90898768598,2124.81132413738,2689.9549954735,13724.1398791458,7811.55165981533,14077.3723648231,13082.4563781404,14326.0790096582,9976.96574589269,9267.04531946296,8709.75737974309,9330.68652739335
SBS25,1305.8371207883,0,0,0,0,0,0,1783.26144070503,0,0,0,0,0,1520.58789644738,0,1914.59106564458,0,911.150661055692,2693.27511315334,0,0,0,0,1854.99755171473,618.576428949409,1261.27121169205,0,0,1738.3843858185,0,0,3185.62112476372,0,0,0,31251.9881032533,16173.8576414246,30563.0805912426,27280.4585829895,33795.2732606896,28675.3517139833,36164.3495224317,35507.1820107571,34684.9799084503
SBS7c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.578192919654,0,0,0,0,0,0,0,11579.3040522619,6536.65287813241,10562.4801329572,10615.9975039948,14020.8063127103,6461.13569006711,9440.60216233159,10792.7923940915,10122.2926896206
SBS26,8065.98878001559,7003.38426130422,5420.19625416708,5968.14229483432,7131.88611755607,6341.4963062939,6625.81724595947,8787.66627117141,5061.43547427464,6755.3876134551,5900.01517118545,6403.0868320978,6744.93466563649,8012.44346307999,7625.77435695247,8995.63673200421,7106.93639999374,8825.0875699211,10391.794302859,6911.06664936759,7082.77497909813,8463.47822552426,5968.14188485835,8888.87227915234,8556.27113908186,9188.18499937256,7412.12395879057,8186.81359711402,7284.88907361569,6747.78928415209,6688.57701006947,8077.15447407701,6644.08766659095,6410.73974628915,6853.88033283632,3282.40438506541,476.899101461451,1586.26225602312,3126.86953202226,4454.49549539933,0,0,0,0
SBS40,31438.5445549831,31559.7816451808,26247.9795111728,27370.823453194,27683.6400136025,28711.4315538818,27007.5618121201,27798.1823326998,26363.1812666472,30580.9474753816,27826.1205034912,28999.5703942004,26459.8038561718,38820.5019250791,29579.9463262612,31741.8795363332,25247.3216560153,40292.8400828533,28328.0798462505,29594.5671108516,32665.5045067962,32298.6392821694,24681.1798171246,28945.4160589246,29104.3580476567,31617.3236886023,29061.9620227115,25639.578789452,31430.1342554981,29018.2170244806,23394.8488666492,24083.0554090046,27119.2989331679,27361.1031143053,28768.4079077668,0,0,0,0,0,0,0,0,0
SBS28,0,0,0,72.57355990713,14.1106212963844,0,0,0,0,0,0,157.794847417859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.118185108012,0,0,154.025966766557,471.129875166279,0,30.5182878983788,22.333821415554,3477.02304969181,2101.15713300666,3420.70984882971,3186.64263796435,4096.34053363769,1770.58908892999,2366.7614318138,2323.18974375522,1844.7858704966
SBS29,0,2239.98110664605,2274.46130567878,2175.83116948125,631.535961853956,1391.65500754688,1224.45171559052,0,2018.8761779521,2721.31372442601,2433.31393837429,873.776610476659,1460.69241564725,12.9557266758154,2403.55205482207,0,1168.25441662054,0,0,2210.53951610412,2464.83452906645,83.7800003930488,1091.14966592846,0,0,0,781.526055493353,0,0,2542.50161992313,710.40116776818,0,1781.15891261489,2356.4791037073,985.691555846383,0,0,0,0,0,0,0,0,0
SBS44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952.96901903937,1053.82897471135,1456.72462126159
SBS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.6633391072755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.798606748214,0,0,1500.40303220505,2501.35884851368,2258.08688992544,1570.19022917977
SBS85,3901.971209995,13219.255277706,13798.4726981169,12584.8112898333,10940.1673260916,11058.1789381287,10817.3336713554,4044.23579931687,10717.9202339284,14076.8591665663,11680.4652985875,12512.2678707044,10165.5496634503,3236.13423149241,12570.0774166152,2862.72123211499,10037.337475991,3761.15446663964,3376.68119508953,12301.8333858685,12282.9778797101,4321.89659383444,9883.4263084864,3229.37237069196,3706.29113736255,4402.6121121749,10732.9706785763,5400.06002894307,2860.54358811605,12719.1403742426,11179.402728936,5106.02675723411,10237.5224663393,12431.3978029159,9702.63843766556,0,0,0,0,0,1873.7985368064,1795.2777499718,1006.89193423413,1823.64130985107
SBS87,2658.42131611383,2954.08707307015,3100.56967637718,3062.55261160541,2822.75862331418,3297.72702634767,2342.25259247641,2618.43036430433,1948.81389098662,2888.44491023876,2299.4947255028,2966.2208629065,2337.52199355933,2838.56417140514,2990.59551192803,3236.80282591386,2481.75852960459,3452.03191022222,3404.58028086385,2351.8096061077,1911.83800017609,2977.3428112977,2424.94345563537,2958.9634110203,2852.89408105094,3351.41331501411,3579.53362081867,2934.31560904936,2577.72713717577,2243.25836949768,2902.31758254998,2465.00708944284,2777.77832835806,2378.40021690705,2251.28800563747,0,21.4798950928678,0,0,0,0,191.754249137188,0,158.179142734284
SBS89,22125.1228991269,40948.3404407808,40091.7811943417,49314.408928448,47061.4056931232,47595.9556802045,45506.8676324971,22452.0931089608,37908.9715633752,43899.9857467918,38385.8941160205,48525.3475668711,42488.70656396,21658.3884963587,46166.2090848344,20818.4093246354,43074.4957810669,23375.6631099978,22699.5296122529,42774.0002642391,43227.6789289267,24117.4384923197,40617.5499489446,20872.770389937,22298.5830514768,22477.6212817151,46096.4422533957,27904.2264786139,22197.4189989717,42889.2612510131,51794.2822052616,30214.2971924612,38653.2707283021,43004.4105542202,44734.5606584525,152316.195002785,78770.9511958814,143598.477582154,147499.682982348,165827.812999183,98903.6743608291,103168.50466401,103793.663071905,107771.540989153
SBS1,6446.49531037868,6741.63943403357,6484.91095535259,6843.6997230291,7288.72775138906,6867.93531177568,6491.72022642083,6459.49509576739,6639.31425349172,6351.25874227548,6211.71510884636,6740.28150072712,7096.23315917474,5538.27888228382,6277.92715003166,5866.29524486462,6774.73165221789,6361.21935836905,6860.96314020349,7210.95695600996,6588.49845066451,6050.48038547199,6429.52708783289,6186.06552960007,6217.98949952118,6877.29135508832,7008.10850003355,7312.67053555197,6738.13345376659,6437.31779876273,6640.07053768815,4614.03948251658,6569.89019994665,6407.14948789592,6308.72474862385,269.7807573163,0,1051.57703418399,1266.95905049012,0,1593.20087844828,1872.87795110059,2531.64016558214,1745.01165488544
SBS2,0,971.341243243211,1426.64263685237,1232.31981130629,839.909083818808,853.291362818624,1074.99741033671,0,898.386674328944,795.438443815977,797.111956766664,1161.98870399794,809.680380373371,0,1023.79188786036,22.2580773502756,1063.74845896114,0,0,843.306701954074,881.353191076783,0,965.596455679709,0,0,0,1111.44074447321,0,0,1252.13479671353,1375.08688647969,1253.34603047224,848.605595866638,1029.53084373813,924.844430533136,6327.91056261112,3570.40312296653,6358.41344165332,5942.00303053101,7001.81546688962,5833.69075000848,6990.33120043282,7230.58821985306,7805.65419384671
SBS3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3933.20270721023,1713.2152881438,0,0,11007.2702092768,30069.6526886234,29006.4864673228,27029.8973348439
SBS5,31426.6555314729,31793.9973259854,35210.2973037093,27866.1035930558,32650.8698821072,31527.7424382359,28384.7324403572,32095.5974474384,32072.2540514316,31956.1323505251,31962.2542101168,27969.3077775141,36691.4113640435,20568.501369513,27958.2124835683,28333.3005927986,31544.2740123522,20970.3603348068,35723.7720805982,28978.6971766296,29732.417859056,28122.000171965,30901.9820991846,31557.22518955,30016.9440139583,33255.8837237595,32036.3392148426,36315.579630878,35597.6649119518,31314.7050984894,31477.2751142106,29853.9043641377,33681.7863587389,31659.3699893256,29896.268306391,0,0,0,0,0,0,0,0,0
SBS6,5944.60978547223,6029.26661765972,6234.03490924609,6368.48628672233,7248.27256790631,7442.41759964005,7242.2880238325,6576.77670058921,6090.93332555534,7056.73214416436,6122.29889942063,7566.66307398256,6430.73000820572,6761.49851744856,7478.88773475757,6672.72901409326,6909.5911036858,6762.17264252898,7236.63079251838,6517.09233576103,6576.20339889802,6610.96232319193,6712.56760463673,6432.05436092579,5801.27048809745,6331.35991361626,6930.37944569636,5344.23018962237,6091.3712805491,6919.47639438037,6904.02305960386,9120.95820441392,6574.92586672056,6161.58730151795,8003.34641999065,15323.8965805035,8851.54542955775,15670.8533894066,13813.9544050642,16710.6519769996,16117.2740727066,16208.0831660865,15487.6468710909,16875.0640128241
SBS8,7033.49321941457,0,2958.68222613668,0,0,0,0,8887.69060170268,452.825044425477,0,0,0,265.052453729309,5934.21636819646,0,6035.9611293535,0,6393.88550706783,8847.03220687549,0,0,7735.25914996989,0,7561.76379842262,7440.90226929849,7069.11705174217,0,7504.47646149822,7421.59534368152,0,0,11868.2653364389,0,0,0,11175.3693872326,3948.86308998979,8566.35268181793,5723.62776441431,10333.8026147271,5967.75633697045,5543.5706519521,18339.8904957738,13525.7694485494
