Sample,Signature,Contribution
SM_3787,SBS89,396797.755444844
SM_2819,SBS89,378381.98974933
SM_3623,SBS89,370528.964229733
SM_3375,SBS89,355471.523679097
SM_4281,SBS89,309562.299340041
SM_4279,SBS89,303059.082266302
SM_4280,SBS89,296549.704263072
SM_4278,SBS89,285687.663675473
SM_4279,SBS5,258946.225519853
SM_4280,SBS5,256798.659384338
SM_4281,SBS5,247876.271533476
SM_4278,SBS5,245482.094193091
SM_3375,SBS5,203177.807292115
SM_2907,SBS89,200055.899372287
SM_3623,SBS5,198773.284971773
SM_3787,SBS5,184992.765262086
SM_2819,SBS5,179255.67443211
SM_4279,SBS37,117536.544493634
SM_3787,SBS37,116772.780736329
SM_2819,SBS37,112382.773349909
SM_3375,SBS37,111917.58170743
SM_4280,SBS37,109302.170215466
SM_3623,SBS37,108216.381186271
SM_4281,SBS37,105811.882849078
SM_4278,SBS37,97444.5942130832
SM_2907,SBS5,84059.5535990698
SM_3787,SBS26,66644.4742185176
SM_3623,SBS26,65854.7530145545
SM_4280,SBS25,65367.2131940588
SM_2819,SBS26,62455.6062065952
SM_3375,SBS26,57894.1172535897
SM_4279,SBS25,54912.18970883
SM_4281,SBS25,54600.7866777349
SM_4278,SBS26,52582.2995407692
SM_2907,SBS37,52214.7820938947
SM_4281,SBS26,51521.4592277241
SM_4279,SBS26,48328.4309061251
SM_4281,SBS1,46669.0051599748
SM_4280,SBS26,46176.16077887
SM_4280,SBS1,46139.2234003602
SM_4278,SBS1,46074.2878449166
SM_4280,SBS44,45170.5121143205
SM_4279,SBS1,44653.7000890315
SM_4281,SBS44,44110.5674453658
SM_3623,SBS1,43145.1231321781
SM_3787,SBS1,41168.034256146
SM_3375,SBS1,40282.2577147345
SM_2907,SBS26,38656.2260415316
SM_2819,SBS1,38578.1104905569
SM_4280,SBS34,37368.7666095064
SM_4281,SBS34,36485.7926471885
SM_4279,SBS44,36474.7297643809
SM_3787,SBS7c,35205.6710992037
SM_3375,SBS7b,33885.5246972938
SM_2819,SBS7c,32671.1448732371
SM_2819,SBS7b,32101.105840336
SM_4279,SBS33,31568.9335667963
SM_3375,SBS7c,31002.9993884249
SM_4281,SBS85,30922.8205989296
SM_4278,SBS44,30886.8271496901
SM_4279,SBS34,30759.5577594863
SM_4281,SBS7c,30317.6524562478
SM_3623,SBS7c,30264.805632802
SM_4280,SBS7c,30159.5641817306
SM_4280,SBS33,29720.2419815636
SM_4280,SBS7b,29589.5925393719
SM_3787,SBS7b,29402.8417877879
SM_4279,SBS7c,29264.4513485735
SM_3787,SBS34,29024.4734049733
SM_4278,SBS25,28993.7224117008
SM_4278,SBS33,28967.1044878152
SM_4281,SBS33,28912.9235493927
SM_4279,SBS85,28605.4078051637
SM_3623,SBS34,27925.7196657279
SM_3375,SBS34,27427.3154388462
SM_3787,SBS33,27301.3346226128
SM_4280,SBS85,27245.8459376555
SM_3623,SBS7b,26858.152448514
SM_4278,SBS85,26844.9594543209
SM_2819,SBS34,26758.2816509438
SM_4279,SBS7b,26589.8185519703
SM_4279,SBS17a,26497.1670782456
SM_2819,SBS33,26441.8469961057
SM_3375,SBS33,26190.2233767858
SM_3787,SBS85,25942.2647331662
SM_4281,SBS7b,25836.4866957993
SM_3623,SBS33,25517.1809337606
SM_3375,SBS85,25299.2237127768
SM_3623,SBS85,25005.165704553
SM_4278,SBS34,24980.7918776311
SM_4280,SBS17a,24905.5222701857
SM_4281,SBS17a,24800.8834912608
SM_4278,SBS7b,24581.9587931534
SM_4280,SBS8,24478.2116329756
SM_4278,SBS7c,24443.2891854562
SM_3375,SBS25,23610.0365179867
SM_2819,SBS85,22992.7976879303
SM_4278,SBS17a,22992.0957299336
SM_3787,SBS25,22619.6800145191
SM_3375,SBS17a,22554.2948717065
SM_3787,SBS17a,21763.0718305387
SM_2819,SBS17a,21561.3510928807
SM_3623,SBS17a,21311.536165442
SM_3375,SBS44,21055.4507037099
SM_4281,SBS30,20649.5472595264
SM_3787,SBS6,20510.4135639939
SM_4279,SBS30,19658.7837191454
SM_2819,SBS25,19381.0674995632
SM_4280,SBS30,19225.4801335917
SM_2907,SBS1,18533.4887599289
SM_2819,SBS6,18170.439511576
SM_2907,SBS7c,18004.0304430033
SM_2907,SBS7b,17813.0743552379
SM_2819,SBS44,17717.9627536698
SM_3787,SBS44,17510.8594388173
SM_3623,SBS6,16598.7445860259
SM_3623,SBS44,16567.8369390211
SM_3787,SBS19,16184.9318457164
SM_3787,SBS24,15947.8376974025
SM_3375,SBS6,15581.7897132929
SM_3623,SBS19,15501.7861232591
SM_4280,SBS2,15019.937840392
SM_4281,SBS2,14869.976913327
SM_4278,SBS30,14853.776971528
SM_2907,SBS34,14508.8796317972
SM_3787,SBS2,14485.9890135601
SM_2907,SBS33,14181.3618180957
SM_4281,SBS8,13976.7795426578
SM_2819,SBS24,13846.1188113081
SM_2907,SBS85,13756.3327092873
SM_3375,SBS2,13745.6048256965
SM_4279,SBS2,13669.0809900959
SM_2819,SBS2,13657.0261874491
SM_2907,SBS6,13310.0095550308
SM_2819,SBS19,13216.7284494639
SM_2907,SBS17a,12906.9301613631
SM_3623,SBS2,12834.917215749
SM_3375,SBS24,12572.5954860469
SM_3787,SBS28,12092.3740975579
SM_4278,SBS2,11979.2640999076
SM_2907,SBS25,11947.4851666963
SM_2819,SBS28,11436.5812253005
SM_3623,SBS28,11049.3747506196
SM_3375,SBS28,10942.2583994751
SM_4281,SBS19,10913.4954986975
SM_3375,SBS19,10847.7434613225
SM_3623,SBS24,10227.7823020604
SM_4278,SBS19,10032.9605650349
SM_4279,SBS19,9994.74223450828
SM_4278,SBS32,9298.87213839728
SM_3787,SBS30,9217.89678104327
SM_4279,SBS28,8329.41627467407
SM_2907,SBS24,8259.04650844112
SM_4280,SBS19,8152.91702323645
SM_4280,SBS28,8112.16890525519
SM_4281,SBS87,8080.44359925881
SM_4280,SBS32,8062.08093651134
SM_3623,SBS30,7939.69823447186
SM_4280,SBS87,7719.89358550409
SM_4281,SBS24,7658.901935164
SM_4281,SBS28,7645.6963147324
SM_2819,SBS30,7497.53359304266
SM_4279,SBS24,7483.06121895435
SM_2819,SBS87,7469.09538335285
SM_2907,SBS44,7418.77433722268
SM_2907,SBS2,7412.73561745366
SM_3787,SBS87,7400.79958838754
SM_4278,SBS28,7196.54967275715
SM_3623,SBS87,7102.87930838446
SM_3375,SBS87,7059.75181687033
SM_4279,SBS87,6834.68233483698
SM_2907,SBS19,6595.50389294579
SM_4279,SBS3,6360.64122708282
SM_2819,SBS91,6202.45260350922
SM_2907,SBS28,6135.7354564018
SM_4278,SBS24,5991.13239612599
SM_4278,SBS87,5890.33958018496
SM_3375,SBS32,5884.17339313741
SM_4280,SBS24,5765.29776457897
SM_4279,SBS32,5727.92516637376
SM_3787,SBS91,5585.74545948073
SM_3375,SBS91,5418.19275357615
SM_2907,SBS30,5407.09449036986
SM_4280,SBS91,5380.17429631536
SM_4281,SBS32,5115.58080759819
SM_4281,SBS91,5060.41871243744
SM_3623,SBS91,4966.28701053787
SM_2907,SBS87,4805.34606764596
SM_3623,SBS25,4780.18543344816
SM_4279,SBS91,4203.07073834552
SM_3375,SBS30,4115.3928296766
SM_3623,SBS10b,4029.56860046901
SM_4278,SBS6,3988.40586161725
SM_3787,SBS10b,3727.74754510185
SM_2819,SBS18,3528.62306897447
SM_4281,SBS10b,3408.03388582156
SM_4279,SBS6,3363.06464188565
SM_4280,SBS3,3230.24530778635
SM_2819,SBS10b,3183.84924310659
SM_4279,SBS10b,3178.95764326792
SM_4278,SBS10b,3176.9017003395
SM_2907,SBS91,3173.5014238119
SM_4278,SBS91,3157.28847610818
SM_3787,SBS9,2718.89180133172
SM_4280,SBS10b,2618.21738812619
SM_2819,SBS32,2512.8016508967
SM_3375,SBS10b,2067.70691948562
SM_3787,SBS18,1877.82219842908
SM_3375,SBS18,1791.696157411
SM_2819,SBS17b,1776.22924180592
SM_3787,SBS17b,1695.6043095839
SM_3623,SBS17b,1279.45838244666
SM_2907,SBS10b,1233.57310998813
SM_3623,SBS18,970.482534268935
SM_4280,SBS90,939.513091866764
SM_2907,SBS18,838.41723873074
SM_3375,SBS17b,796.001178689861
SM_2907,SBS17b,683.783000945992
SM_2907,SBS20,469.228659709036
SM_4281,SBS90,366.907918664752
SM_2907,SBS9,305.031635162017
SM_4279,SBS8,159.360796339738
SM_3623,SBS32,126.034151161793
