Signature,7316-1091,7316-1780,7316-2565,7316-2692,7316-3027,7316-3047,7316-3079,7316-3155,7316-3158,7316-3161,7316-351,7316-357,7316-3633,7316-3655,7316-3948,7316-3953,7316-4102,7316-4220,7316-4335,7316-4543,7316-4553,7316-4558,7316-46,7316-4672,7316-4685,7316-4842,7316-486,7316-4869,7316-49,7316-5226,7316-5227,7316-5271,7316-5297,7316-5299,7316-5318,7316-5323,7316-5328,7316-5450,7316-5472,7316-5479,7316-599,7316-6041,7316-6079,7316-6235,7316-6244,7316-6247,7316-6248,7316-6251,7316-6259,7316-6261,7316-6274,7316-6275,7316-6290,7316-6535,7316-6574,7316-6645,7316-6665,7316-6761,7316-6773,7316-6791,7316-6807,7316-6813,7316-6982,7316-6985,7316-7075,7316-7091,7316-7133,7316-7498,7316-7519,7316-7533,7316-7542,7316-7756,7316-7758,7316-7929,7316-8122,7316-8130,7316-8734,7316-8829,7316-8832,7316-8839,7316-8851,7316-8856,7316-9026,7316-9048,7316-9049,7316-9253,7316-9435,7316-9497
SBS28,0,0,0,0,0,0,0,0,0,20.102209254112,0,0,0,0,0,0,0,0,0,0,0,159.88976643188,0,31.2211877743761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0186423330099
SBS91,1501.73814575945,4420.98099899665,3616.07122283624,3475.9435222496,4257.2091403986,3478.8395776345,2474.38098866854,3501.01477397887,2433.03193291137,1927.99323348222,6130.44941025854,4978.63601535442,4985.06562780221,4341.72685815603,4438.41161865594,4250.02016123061,1875.38134097693,1682.54976253058,1820.83290269119,3861.77111858704,2920.56813143394,1228.32517644456,4508.43938973332,896.567723107676,3086.74359476849,3747.40454627781,3104.54662999415,2637.21486379926,2450.65489833832,1834.06939956247,4063.68686789041,5569.15501220448,5079.46944805195,6030.46694108835,6607.9776400523,3445.96173158131,2034.34245821313,6749.09642660326,3435.75474850872,6181.41833277876,3536.13042727289,4198.8112544797,5934.28181128069,1759.63482671783,1479.26589483348,1482.1907547623,1758.73202080992,2306.27499164108,2371.74061215426,2618.51081395088,3506.06800252971,3678.44986353185,4572.78085245803,2545.6366883135,3570.51271697543,5841.04570664821,2925.16627962341,2564.32707009855,3388.47628038728,3056.10824592957,1757.59564899272,4812.01448087471,3047.27568244177,2788.75218778106,4432.33783288257,1541.3307213129,4172.4654551004,3521.59236572885,2036.55412347559,1608.08452337273,1108.00801780558,4480.29904622698,3457.4753856494,4353.06414603956,3646.65306679276,2792.54433593051,2114.33287756591,3051.4716851026,3794.36887411179,4046.9245485668,2112.71793821703,2232.38542499711,2173.4145231262,1736.62195854986,3003.83799699714,2579.10859520742,3776.02103764438,920.995099690639
SBS37,11652.5018716159,9971.32604329899,10663.5120261952,11899.4790710485,10205.2511880303,10728.2067891025,9710.45242011307,11664.1992814321,10927.7451947372,11775.4345003273,9883.17610996905,10893.4469379416,12673.5015538064,12115.0997553893,9718.25434297346,11547.8365089276,13269.4267464824,12627.2112231812,10598.3041496995,10897.1346532559,10899.8145714194,10241.6757486424,9370.99642819723,11882.4087761813,10615.1644754389,9825.66564205238,9400.54984643182,10818.9738344479,11704.0842551586,10713.481477787,11361.5183751082,9769.78239918355,10764.3482593509,9502.30777942591,10766.3497329458,11938.5606341376,11585.0925294871,10602.1196180238,9677.19915036189,9274.92500592258,11760.3248827374,11188.6650078286,10917.828132077,11604.9093034343,10269.7803282257,10676.6569674145,11127.8826166434,12332.7479552961,11203.5632713902,10438.8160083081,10113.002929223,14254.6659304599,9735.31458683297,13465.5557777895,10842.8934305995,11057.0904458096,10794.561021283,11389.5958060423,11899.5552635639,12158.7658748478,12457.5524948593,10775.0964864138,12039.3071489309,11732.9064194397,11349.8050728923,11626.8605558335,9939.0883071098,8954.93632666522,11225.2611438464,12254.8841073388,11291.6292114985,10157.4407051691,11878.375754124,11777.2477805719,11092.1084387207,11605.6974900248,11753.8642832114,10691.0859224012,13047.0707136481,11530.4548318151,10797.2732465114,11649.6083998531,10108.0401145742,10377.5763317166,9380.42903954308,12545.1087769437,12394.3545240779,11067.8580967015
SBS19,4350.25205335236,3849.61150052806,3791.61918962109,4538.78063082379,4093.08257621533,4339.43320532833,2806.85868700758,4298.94169724049,4210.92098101166,4583.10883041515,3396.92453511125,4130.55072315671,3592.91228106004,3589.34774291176,3792.61161380167,4148.97473393181,3951.40148802908,4666.02921312381,4444.82793682541,4232.50109279006,4146.58909367407,3812.78889078016,3250.95608908251,4741.9553413742,4396.36069422878,3932.09084343511,3732.16739465489,4017.24090635625,3824.68937977305,3934.75718382708,3907.5724369243,3364.42664435827,3835.13618998678,2561.21803127661,3615.23785120505,4083.04290425756,4399.75224767339,3092.99842275496,3511.26255982801,3104.18404712857,4040.96783296951,3481.70824709206,3438.63528423477,4972.26720644053,3862.14396826834,3607.87695318861,4105.35661810597,4544.23305680003,4070.43068046963,3633.05945088848,3808.43075669955,4489.78651413323,3352.94478553549,4471.89587999015,3868.11994450477,3569.4084901806,4688.63081034764,3820.10645861443,3908.56877522485,4423.67167258648,4897.15584038506,4026.89856724923,4700.86707088773,4000.52728006348,3653.02316201499,4179.29008126113,3701.95022165072,3188.13091937234,4493.24353555533,4195.92122984794,4934.72658801955,4153.81732270809,3911.166006778,4115.20169942526,3767.67321789435,4926.76425446242,4540.21756814732,4200.71153999007,4203.97176009147,3630.40690433463,3988.59362408191,4359.07785236847,3944.34225705266,4398.46066808449,3262.55553114262,4929.62002972926,4076.92127370721,4277.63194934986
SBS17a,1596.73602083557,1495.12777887699,1665.33280911919,1595.34434306819,1519.6334555855,1500.5396703932,1092.70119669435,1218.51361400042,1413.43984406244,1724.36744872327,1313.58086353285,1685.76874266136,1385.94968915462,1420.27978206891,1556.80052307448,1714.95637177352,1626.90018243652,1443.0553226681,1489.58147261913,1414.78186616248,1462.32113043661,1610.15102093188,1651.07234987345,1626.78746316442,1507.24600837322,1526.06965539179,1677.86895348086,1433.02944768439,1574.24072823637,1680.133544085,1845.51819179464,1561.70453208753,1452.36009208018,1375.37609783547,1465.32178042219,1637.48442608053,1710.17498847721,1284.53457891455,1710.58481942241,1522.64248528414,1588.66049916724,1505.9928251679,1486.66428366167,1655.11021803306,1446.40280465534,1396.15324369317,1537.92456745687,1538.37575516878,1283.06911978895,1319.05480883143,1695.60930447143,1578.86557291409,1494.25596511214,1808.57717020882,1607.13390198521,1249.95601825549,1667.3333385038,1541.17949580441,1487.26941888842,1565.42073106424,1735.27365689673,1525.63249379393,1631.01092561159,1521.11282584062,1434.4277566038,1551.55622757494,1718.2756970802,1470.99739248271,1367.48603385218,1879.69140943427,1723.42087213309,1770.34866525662,1400.18692246792,1513.55595497959,1242.66733803118,1947.94068949474,1580.51395756609,1576.83318897853,1680.45920610883,1495.38807910742,1839.85445689118,1652.09663896733,1522.17747231,1693.44448608629,1443.65937417998,1752.69966176994,1414.98051865286,1637.50898486237
SBS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.7315097133411,0,0,0,321.178058712272,0,0,0,0,0,0
SBS17b,0,0,0,0,0,0,0,0,0,102.142553825407,0,0,0,0,0,0,0,0,0,0,0,68.7649247349356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5627131482168,0,0,84.3000233230266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBS84,0,0,365.070667938559,0,0,0,0,0,0,233.986411108188,0,0,0,209.504419588941,15.7603279404778,0,0,0,0,108.999133439218,0,0,0,0,0,0,0,0,0,0,329.365885325038,642.881811602186,0,855.104849177946,0,0,0,241.420652970024,0,171.230079349445,0,471.834554535423,583.946156931578,0,0,0,0,54.8237213514553,0,0,0,417.817968129417,0,108.19170468209,0,297.11223907238,0,0,0,0,0,0,0,0,246.831043495429,0,0,0,0,0,0,154.954453718501,0,221.74326550854,0,0,0,0,107.160253738827,0,0,0,0,0,0,0,0,0
SBS39,7672.92727334367,4279.55663985117,5284.26658317825,6451.47355353005,4403.4678053884,5415.26513354171,4342.90718522703,5407.29567330329,5254.76193315352,8573.9892718331,4201.00048180944,6424.9662035556,3701.8759810036,5118.59051613906,7000.88060243606,4760.68247595409,7230.19838905631,7638.3891617695,6997.0875009029,5092.45626346632,5877.36207436293,6470.95227988358,4087.27013642809,8253.41272927458,5593.12644025918,5380.83615758256,4161.28553006901,5751.53370930757,6769.18435788956,7788.53739626258,5900.09160251941,3429.8384161432,5759.27360904231,2696.02735790195,5352.0227043178,6554.66936122928,6921.23617564189,3229.52997370712,5235.42033411717,4539.88029160645,6881.25443412766,5955.88197071308,5562.81240705049,8030.68619846576,6148.21380491966,7079.21532645183,8205.77179312768,8293.78577538182,6245.25857051894,6030.55624685314,5240.46105453064,8209.51318140459,5235.28663016722,8063.25127791144,6866.11722145693,4150.9487527616,5509.90179023091,5419.19064680881,4331.11113077266,5735.10731243666,9338.23430522087,5106.50447159992,8103.20521976617,6239.15594853834,5046.95671246346,6527.06623422886,4963.16302724957,3008.46518405037,8700.05758720305,7420.89406455051,8872.82635857625,5969.19988664367,6119.26120945645,7204.34063955553,4665.44992527987,6736.70922365507,5706.09935228268,4428.14080278724,6853.08641287453,4679.01192597432,6026.44623843799,5731.00108168217,5269.48083018285,6375.99423357362,5493.98886688778,7635.43582058927,6320.26201449484,7801.88092720931
SBS85,4825.89189969009,4311.37637626696,4841.11117878748,4463.17610811603,4454.8790077464,4435.07521212514,3964.92168650132,3836.74227584194,4123.03215885881,5055.27918723473,4824.39705271572,5497.40951285682,4244.66300724743,5132.69706921108,4428.50160334586,4604.28488147707,4977.94054670849,4727.36264656797,4568.1544056522,4394.69180179304,5431.08857435861,4225.91648406922,4170.54381742611,4803.81145097127,4974.82454282963,4782.55357594939,5068.78042694734,4781.74675277292,5088.55053188594,3133.60807084487,4905.69273502281,4613.61258158506,5016.87458144357,3931.1803577857,5183.75086481573,4811.99235792326,5627.55197397632,4329.98461342339,4902.92056305006,4766.02669239321,4779.77607763236,4700.3151741862,4222.81987663002,4999.69021034471,4623.50544055131,3872.70938138334,4350.02623780217,4390.46846067567,4355.29730416427,4582.20210403022,4558.01587657672,5339.90479791821,4797.67956181359,4868.39905158074,4440.92778352922,4503.2246701531,5755.5218904754,4352.06917025263,4955.10936178255,4717.46809844531,4737.98490366825,4595.89032902497,5161.96361627389,4981.36360489655,4159.90996528837,4689.44514548682,4605.39272910961,4086.87236664529,4524.63851857998,5504.15568554375,5656.65462029756,4811.78501951772,4026.37160475327,4772.05781189668,4477.40724268464,5852.54164687014,5157.16046046699,5262.68468472694,5094.00460049033,4491.37379708356,5251.04582906868,5338.25364260064,4569.47765883278,4479.27769271284,3995.02105213587,5209.84136759095,4434.3632096622,4481.1136780676
