Signature,BS_2ZKBYF95,BS_61KN2D29,BS_65YZYWHD,BS_872YDFKD,BS_9BBWSCD6,BS_9R1ENMBP,BS_DDH5HKJK,BS_EBBQ7GD2,BS_EPCD7XFA,BS_EQG6D837,BS_EYXVNC69,BS_GKJZGTFS,BS_H4KBJDGN,BS_JJ593ZW7,BS_N2A2JA32,BS_NWXG4ZNS,BS_SGS26NXP,BS_SP3ND4W3,BS_T77MXWTX,BS_VNBX1SEV,BS_WKD534RB,BS_XHT3F34T,BS_Y63AQ2ZX,BS_Y6D4JQS8,BS_YKT1NAJQ,BS_ZY319KJ4
SBS91,0,0,0,0,0,0,0,0,0,0,797.47835143573,0,0,0,0,282.797431565525,0,0,0,0,217.716582231126,0,0,673.489689796898,0,0
SBS2,0,0,0,0,0,0,0,0,0,0,1113.78261383812,0,0,0,0,966.915185813166,0,0,0,893.55177423486,0,0,0,0,0,0
SBS28,0,0,1534.995777199,0,1526.29127998315,0,0,1331.66376891955,0,1322.74686945139,0,0,2231.72778443783,1562.34956248962,0,1718.86118563968,1635.99568982498,1139.19423539224,0,0,0,1883.82843265667,0,1328.88852417583,0,0
SBS19,0,0,5782.37175858961,0,0,5659.87256838167,6441.85959763134,0,5527.49643111393,0,5586.62475634377,0,0,0,5428.85632427763,0,0,0,0,0,5198.77967431614,0,0,6232.22252595664,0,0
SBS37,23153.9288213813,0,0,0,0,0,0,0,22477.3965416382,22635.3318348128,22167.7777362448,25325.3772658474,0,22536.2164744978,0,0,0,0,25214.775329861,0,19838.1158373217,0,0,0,0,0
SBS17a,1323.41824926157,0,0,3999.14667376789,4727.6745991599,0,0,0,0,0,0,0,0,0,1452.49855483516,0,0,0,0,3174.88263918848,0,4474.86132941227,3347.57471965242,0,0,3811.41335279527
SBS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.7678528785988,0,547.21749297427,0,0
SBS17b,0,0,0,0,0,0,0,0,0,0,118.128999135159,0,0,326.458535966299,0,0,0,0,0,0,0,0,0,0,0,0
SBS39,0,17999.2465583132,0,15323.5628762589,0,0,0,0,0,0,0,0,0,0,0,0,12926.1532218311,0,0,13918.4951357116,0,0,0,0,0,0
SBS5,0,0,0,0,0,0,68592.4913698112,0,0,0,59773.1666697974,0,0,0,0,61312.1722674658,0,0,0,0,0,57255.8757264465,0,0,0,84993.2784867874
SBS85,0,8454.48337359318,0,0,0,0,0,0,0,0,0,0,9591.74938435892,0,0,0,0,0,14923.453721829,17813.2189529862,0,0,0,0,0,17617.6153995888
SBS6,0,9293.9662585895,0,12125.4623529736,0,0,0,0,9146.81997792229,0,11143.5857558363,0,0,9738.48627172333,0,0,11118.1817834576,0,0,0,9764.5843913364,0,0,0,0,11548.936938334
SBS87,0,4993.233315816,0,0,4385.54144624347,4148.99689749359,0,0,4174.61218296113,3678.8186837574,0,4449.95435647615,0,0,4569.4573828155,0,0,0,4236.1167491171,0,0,0,0,4244.22643383438,3619.96541287213,0
SBS8,0,0,18369.6786179861,0,8263.81159358753,16359.1232644698,0,8888.15437275334,0,17473.2352163932,0,13729.4194179444,19525.7576259375,0,0,0,0,0,0,9894.87651755242,0,0,0,0,0,0
SBS13,0,0,0,1329.39262972435,0,0,0,0,0,0,0,0,2443.92189267526,1996.36916847468,0,0,0,0,1675.73458971523,0,0,0,1598.66442111463,0,0,1383.21865223179
SBS9,0,0,4528.15956653966,0,0,4777.37461189179,0,0,0,4722.55854288318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.876722373343,0
SBS89,0,29547.2443439251,31266.7413178144,0,65162.8821285371,0,52926.5269523523,0,0,0,0,0,0,0,0,0,0,29698.5843317637,0,0,0,0,57262.3273129179,0,0,0
SBS32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6964.39317371348,0,0,0,5961.84536252692,0,0,0,0,0,5247.16926648336,0
SBS7b,0,0,2992.53584774186,0,0,0,0,4762.7727647477,1973.51175613757,0,5147.53962371129,0,0,0,0,0,4815.14319194483,2975.9649314379,0,0,0,0,0,0,0,4566.79874779857
SBS24,0,0,0,0,0,0,0,0,0,0,662.666296728359,0,0,0,0,0,0,0,636.47435342276,0,0,0,0,0,0,738.597457524143
SBS33,0,0,0,0,0,8132.55253958886,0,7645.293519956,7879.95793775652,8437.22268121131,7513.48989916351,0,0,7979.11422799395,7857.19539237398,0,0,8665.3999618187,0,0,0,0,0,7898.26526854925,0,0
SBS7c,736.989652672713,0,0,2985.45633582224,0,0,0,0,736.219264346968,1264.4154528378,1219.12539649322,2225.24369665239,2385.35911537397,0,623.81124775153,0,0,0,1437.6469893844,0,0,1386.89415348853,0,0,0,0
SBS25,3781.17542826519,0,0,0,0,0,0,0,4513.68546855559,3741.6224922559,0,0,0,0,0,0,0,4567.28428949753,0,0,0,0,0,0,0,0
SBS26,0,14155.4852741749,15664.6178673371,0,0,0,0,0,12169.4863425728,0,0,0,0,0,13371.2617132286,0,0,0,0,0,0,11891.8257368727,0,0,11361.8372453566,0
SBS1,0,0,12551.7214123417,0,0,0,0,0,13431.8974813589,0,12754.9446922553,13241.7186737535,13154.2243583573,0,12273.5521638635,0,0,0,0,0,0,0,0,0,0,16249.6198634563
