Signature,BS_XHT3F34T,BS_9BBWSCD6,BS_1034EC8V,BS_P4Z4YP0P,BS_ZY319KJ4,BS_872YDFKD,BS_SGS26NXP,BS_EYXVNC69,BS_YKT1NAJQ,BS_Y6D4JQS8,BS_EBBQ7GD2,BS_Y63AQ2ZX,BS_0754AZX0,BS_THDBV4G0,BS_0QP42DN4,BS_GKJZGTFS,BS_JJ593ZW7,BS_T77MXWTX,BS_9XHV04WE,BS_DDH5HKJK,BS_VNBX1SEV,BS_NWXG4ZNS,BS_H4KBJDGN,BS_N2A2JA32,BS_2ZKBYF95,BS_65YZYWHD,BS_61KN2D29,BS_SP3ND4W3,BS_6E10DMSJ,BS_EPCD7XFA,BS_EQG6D837,BS_9R1ENMBP,BS_K4XGEGW0,BS_WKD534RB
SBS91,411,1476,907,1831,579,1016,1336,1077,469,1106,1386,153,810,1037,1356,355,483,218,568,478,645,562,0,1627,992,307,622,237,538,608,479,1063,574,459
SBS37,11782,8156,9756,9739,11676,10603,8720,9883,12207,7552,8958,10371,8124,9067,9454,11296,7964,11317,9438,9703,7705,9531,11514,10730,11527,10768,10115,11471,9708,11097,11029,10939,9451,9597
SBS28,151,80,160,0,15,0,0,0,12,0,0,0,24,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0
SBS19,4680,4807,4708,4471,4685,4771,4566,4229,4458,4561,4288,4413,4207,4162,4486,4722,4653,4400,4270,4485,4282,3907,4350,3981,3953,4756,4219,3914,3404,3943,4209,3378,3801,3831
SBS17a,3277,3631,3312,3190,2979,3260,3119,3051,2775,2918,2550,2521,2649,2792,2439,2702,2476,2175,2435,2292,2254,2452,1382,1114,915,1386,1180,1207,1061,925,991,790,1174,895
SBS2,1376,1228,1157,856,842,1107,1020,1059,923,793,870,1066,1021,1238,846,807,975,958,1426,843,786,903,0,0,0,0,0,0,0,0,0,0,0,19
SBS17b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,0,0,94,0,0,0,705,0,62
SBS29,706,2150,898,1428,638,764,2416,1179,1007,2734,2481,1169,2354,2543,2233,1394,2212,1097,2242,1751,2440,1962,0,0,0,0,0,0,0,0,0,0,0,0
SBS84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBS39,2703,1554,3410,1803,2490,1828,2562,2347,3470,658,1941,3201,1391,2398,1726,4015,2197,3084,3355,2391,2156,2372,6789,4684,4680,8378,5947,7687,5395,5781,5331,4323,6512,5739
SBS85,10994,12441,12328,10880,10814,10577,12426,10683,9549,13882,12090,9894,12253,12526,12118,9984,12985,9737,13559,10062,11512,10534,5282,4193,3625,3214,4301,3876,3530,3724,2716,3106,3089,2706
SBS5,31780,28259,28333,31905,32697,32329,28213,28735,30140,32311,29996,31779,31897,31613,29222,36842,32045,31139,35424,33991,32262,32300,36317,28336,21109,35824,33333,32223,30183,31523,35716,20767,31604,28476
SBS6,6886,6362,7532,7430,7237,6900,7455,7211,7979,7027,6544,6905,6140,6904,6484,6389,6027,6701,6224,6549,6116,6073,5340,6563,6740,7208,6305,6540,5785,5922,6075,6730,6420,6634
SBS11,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBS87,2895,3057,2944,3294,2821,3567,3004,2323,2241,2881,1913,2483,2363,2249,2346,2342,2960,2411,3090,2766,2292,1923,2931,2971,3456,3395,3352,2626,2844,2629,2565,2838,2957,3222
SBS10a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,62,0,66,0,0,0,0,0,0
SBS30,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,1110,0,0,0,0,0,0,4579,2580,2319,4622,3722,3571,3633,3022,3274,2252,3529,3506
SBS8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,152,0,3111,0,0,627,7642,7850,6522,8927,7137,9006,7538,7129,7559,6083,7617,6113
SBS12,1193,2166,2026,2174,0,216,251,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBS9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,74,2162,763,1540,867,505,997,741,1772,1734
SBS89,51577,49066,48224,47342,46871,45949,45788,45224,44442,43638,42909,42796,42671,42612,42569,42191,40626,40359,39748,38429,38107,37552,27655,23902,23136,22521,22319,22240,22065,21926,21924,21434,20680,20645
SBS40,23174,26923,28663,28275,27464,28638,29322,26877,28640,30153,32489,25042,27058,28682,29270,26042,31140,24432,25953,26829,27539,26020,25474,31748,39758,27983,31230,27363,28735,30981,30970,38263,28722,31334
SBS13,0,0,0,4,0,0,0,22,48,240,157,36,52,53,175,359,95,86,427,162,0,0,628,665,468,460,590,559,744,524,153,446,614,352
SBS10b,1697,2088,1647,1567,1887,1728,1719,1687,1570,1730,1668,1519,1437,1697,1900,1668,1622,1715,1771,1752,1559,1436,1704,1478,2095,2102,2083,1484,1711,1707,1743,1417,1892,1640
SBS32,2487,2941,2716,3048,3090,3291,2902,3135,3306,3577,3169,3068,3400,4045,3856,3642,3914,3764,3987,3233,3328,2899,2206,2918,3173,2890,3126,3282,3090,2990,2026,3148,3067,2325
SBS7b,3085,2413,3035,2861,2566,2332,2569,2626,2666,2568,2553,2356,2103,2850,2367,2019,2123,2309,2594,2326,1895,2124,146,905,322,305,263,1116,740,421,86,629,201,514
SBS7c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0
SBS10d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1177,0,97,0,5,35,459,1642,346,0
SBS24,1346,94,1114,741,883,974,0,351,1143,0,0,755,0,0,391,663,0,710,0,142,0,112,81,89,50,153,299,215,0,266,0,0,157,519
SBS33,4631,4736,4437,4353,4881,4688,4281,4460,4713,4306,4398,4085,4021,4169,4707,4575,4361,4562,4345,4305,4130,3976,4353,4490,4924,5937,5189,5143,4631,4535,4951,4584,4914,4910
SBS34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,4,68,146,55,44,0,31,65
SBS25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,2732,1288,1800,659,1336,1768,1514,1894,1971
SBS26,6658,5956,6383,6332,7158,7418,7585,6585,6829,6713,7082,7111,6404,6706,6887,6738,6985,5950,5431,6631,5906,5045,8195,8449,8834,10397,9197,8802,8550,8068,7294,8014,8887,8996
SBS18,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889,0,542,350,74,249,385,0,152,0,0
SBS1,6635,6828,6742,6850,7279,7012,6267,6502,6309,6347,6593,6759,6410,6427,7212,7091,6723,6429,6478,6569,6206,6644,7307,6057,6351,6863,6875,6455,6212,6452,6736,5543,6181,5869
