,7316-1091,7316-1780,7316-2565,7316-2692,7316-3027,7316-3047,7316-3079,7316-3155,7316-3158,7316-3161,7316-351,7316-357,7316-3633,7316-3655,7316-3948,7316-3953,7316-4102,7316-4220,7316-4335,7316-4543,7316-4553,7316-4558,7316-46,7316-4672,7316-4685,7316-4842,7316-486,7316-4869,7316-49,7316-5226,7316-5227,7316-5271,7316-5297,7316-5299,7316-5318,7316-5323,7316-5328,7316-5450,7316-5472,7316-5479,7316-599,7316-6041,7316-6079,7316-6235,7316-6244,7316-6247,7316-6248,7316-6251,7316-6259,7316-6261,7316-6274,7316-6275,7316-6290,7316-6535,7316-6574,7316-6645,7316-6665,7316-6761,7316-6773,7316-6791,7316-6807,7316-6813,7316-6982,7316-6985,7316-7075,7316-7091,7316-7133,7316-7498,7316-7519,7316-7533,7316-7542,7316-7756,7316-7758,7316-7929,7316-8122,7316-8130,7316-8734,7316-8829,7316-8832,7316-8839,7316-8851,7316-8856,7316-9026,7316-9048,7316-9049,7316-9253,7316-9435,7316-9497
7316-1091,1.0,0.9669571622255886,0.9553963705285425,0.9715801838216702,0.968094174132323,0.9712073594994055,0.9702380162615175,0.9712073594994055,0.9713564892283115,0.931432277591597,0.9630052244095834,0.9682993297857414,0.9654658649365301,0.9533375643273805,0.954293438635063,0.9705362757193292,0.9864255211317707,0.9726986567884642,0.9570875327652115,0.955102255356948,0.9718784432794819,0.9760040741120408,0.9641982622408302,0.9743725533834575,0.970759970312688,0.9710582297704996,0.9680010703279296,0.9713564892283115,0.9721021378728408,0.9706031792117297,0.9559846008717316,0.9455435122801241,0.9669571622255886,0.927633011540974,0.923262151656172,0.9716547486861232,0.9846975944986527,0.9188628246534492,0.9700143216681587,0.9225165030116427,0.9709836649060468,0.9535581507060764,0.924306059758513,0.9843299505341594,0.9718784432794819,0.9571610615581101,0.9580434070728937,0.9438919939028816,0.9720275730083878,0.9719530081439349,0.953852265877671,0.9567198888007181,0.9694178027525353,0.9437468244175075,0.9703125811259704,0.9218454192315663,0.9525483143033054,0.9560581296646303,0.9700143216681587,0.9718038784150291,0.9707483486971039,0.9657641243943418,0.9721021378728408,0.9715801838216702,0.9523816900196981,0.9862784635459735,0.9688958487013648,0.9639000027830185,0.9838152489838689,0.9721767027372937,0.987483894650684,0.9546610825995561,0.9713564892283115,0.9553228417356439,0.970759970312688,0.9719530081439349,0.9567934175936169,0.9555434281143399,0.9564257736291237,0.9682247649212884,0.9718038784150291,0.9564993024220223,0.9715801838216702,0.9573081191439072,0.9699397568037058,0.9714310540927644,0.9699397568037058,0.9586512010387159
7316-1780,0.9669571622255886,1.0,0.9839901263427556,0.9963998468019917,0.9991382448834104,0.99739563385676,0.9973190348525471,0.996016851780927,0.9969360398314823,0.9568787181270672,0.998774415932593,0.9980850248946765,0.998774415932593,0.9851231463700176,0.9842922650166922,0.998774415932593,0.9802889275870333,0.9941018766756033,0.980666600929454,0.9844433343536605,0.9969360398314823,0.9438957193540467,0.9990808119494448,0.9339852879611531,0.9974722328609729,0.9974722328609729,0.9970892378399082,0.9963232477977788,0.9953274607430105,0.9674791162767591,0.9843677996851763,0.982403898304589,0.9990808119494448,0.9664352081744181,0.9662964381463043,0.9967062428188435,0.9807421355979381,0.9635388739946382,0.9977020298736118,0.9664496361547301,0.9976254308693989,0.9850476117015334,0.966526235158943,0.9796846502391604,0.9953274607430105,0.9804399969240016,0.9808176702664222,0.9681502000568355,0.9954040597472233,0.9972424358483342,0.9840656610112399,0.9824794329730732,0.9990042129452318,0.9682247649212884,0.9979318268862507,0.9662964381463043,0.9736733734343798,0.9829326409839778,0.9978552278820376,0.9970126388356952,0.966584337903324,0.9979318268862507,0.9954806587514363,0.9955572577556494,0.9847454730275971,0.9787026995488666,0.998774415932593,0.9976254308693989,0.979533580902192,0.9924932975871315,0.9545209666078504,0.9847454730275971,0.9971658368441211,0.9840656610112399,0.9976254308693989,0.9967828418230564,0.9809687396033906,0.9833103143263984,0.9834613836633668,0.9989276139410189,0.9953274607430105,0.9814974822827794,0.9965530448104176,0.9802889275870333,0.9976254308693989,0.9954040597472233,0.9970126388356952,0.9523105745585849
7316-2565,0.9553963705285424,0.9839901263427556,1.0,0.9846699383591128,0.9845377228549645,0.9851231463700176,0.9844433343536605,0.9839901263427556,0.9851231463700176,0.9731902858139732,0.982403898304589,0.9851986810385017,0.9828571063154937,0.9991061785408363,0.9981378719600759,0.9853497503754699,0.9690700532568618,0.9830837103209461,0.9691445383784588,0.9995530892704182,0.9849720770330493,0.930708521662327,0.9827815716470096,0.9223011021877677,0.9852742157069859,0.9854252850439542,0.984141195679724,0.9848210076960812,0.9835369183318509,0.9554698993214412,0.9989572082976425,0.9950839819746005,0.9844433343536605,0.9803593957176325,0.9516612882315483,0.9848210076960812,0.968846597892071,0.9778718181955411,0.9851231463700176,0.9807421355979381,0.9855763543809224,0.9991806636624333,0.9815730169512634,0.9683252020408923,0.983687987668819,0.9684741722840862,0.9690700532568618,0.9844402437235072,0.9835369183318509,0.9850476117015334,0.970783211053592,0.9988827231760454,0.9850476117015334,0.984513772516406,0.9859540277233431,0.980137858250065,0.9621381862547512,0.9704852705672041,0.9846699383591128,0.9848965423645651,0.9539993234634684,0.9828571063154937,0.9840656610112398,0.9840656610112398,0.9976909612304942,0.9672824103385348,0.9849720770330493,0.9822528289676207,0.9673568954601318,0.9820262249621684,0.9426929456765724,0.9997020595136121,0.9851231463700176,0.9987337529328516,0.9851986810385017,0.9847454730275971,0.9686976276488771,0.9701128449592193,0.9991061785408363,0.9848965423645651,0.9838390570057874,0.9692935086216528,0.9845944036906288,0.9680272615545045,0.9848965423645651,0.984216730348208,0.9855763543809224,0.9407312346969182
7316-2692,0.9715801838216702,0.9963998468019917,0.9846699383591128,1.0,0.996993431692416,0.9989276139410189,0.9984680199157412,0.9993872079662967,0.9994638069705095,0.9608574238157451,0.9941784756798163,0.9972424358483342,0.9957870547682881,0.983008175652462,0.983612453000335,0.9984680199157412,0.9839901263427556,0.998774415932593,0.9853497503754699,0.9845188690221446,0.9994638069705095,0.9492152891458203,0.9948678667177328,0.9412723698676924,0.9985446189199542,0.9985446189199542,0.9965530448104176,0.9996936039831484,0.9989276139410189,0.970685405448235,0.9849720770330493,0.9782494915379618,0.9963232477977788,0.9618867514427893,0.9577173496744543,0.9993872079662967,0.9850476117015334,0.9545001914975108,0.9981616238988894,0.9572577556491767,0.9990042129452318,0.983536918331851,0.9584067407123709,0.9847454730275971,0.998774415932593,0.9846699383591128,0.9848965423645653,0.9726240919240113,0.9990808119494448,0.9995404059747224,0.9838390570057873,0.9856518890494065,0.9974722328609729,0.9724749621951054,0.9986212179241671,0.9568747606281118,0.9819558186636738,0.9848210076960812,0.9983148219073154,0.9994638069705095,0.971878443279482,0.995940252776714,0.9995404059747224,0.9990042129452318,0.9830837103209461,0.9839145916742715,0.9972424358483342,0.99479126771352,0.9842167303482081,0.9977786288778246,0.9597522277911122,0.9841411956797239,0.9990808119494448,0.9845944036906287,0.9990808119494448,0.9993872079662967,0.9845944036906287,0.9845944036906287,0.9855008197124383,0.9974722328609729,0.998851014936806,0.9852742157069859,0.9993106089620837,0.9842167303482081,0.9982382229031023,0.9994638069705095,0.9983148219073154,0.9585733520315041
7316-3027,0.9680941741323231,0.9991382448834104,0.9845377228549645,0.996993431692416,1.0,0.9982190392301272,0.9987552425278757,0.9967636302790953,0.9976828359323786,0.9580022598321434,0.9979892378168063,0.998448840643448,0.9977594364034855,0.9854063881774161,0.9844621867399689,0.9990616444123035,0.9814785101976355,0.9948869187369752,0.9820450310601039,0.9849909395449392,0.997874337110146,0.9455534200689965,0.9981041385234667,0.9361529043903019,0.9985637413501083,0.998448840643448,0.9985637413501083,0.9974913347546113,0.9963040274524536,0.9683551561556969,0.9843111145099772,0.9816295824276272,0.9986020415856619,0.9658571853605469,0.9655872385385694,0.9980275380523599,0.9817806546576187,0.9627530211076126,0.9992914458256245,0.9657404394807834,0.9981807389945736,0.9852553159474243,0.9657404394807834,0.9811385976801547,0.9968402307502022,0.9820072630026061,0.9819317268876103,0.9691008190796223,0.9967253300435418,0.9980658382879133,0.9852175478899267,0.98336691307253,0.9991765451189639,0.9696600662725663,0.9985637413501083,0.9653957373608021,0.9746641561737043,0.9843488825674751,0.9983722401723409,0.9978360368745925,0.9679077584013418,0.9978360368745925,0.9961125262746863,0.996572129101328,0.9845754909124624,0.9797411795527327,0.9989084434700897,0.9983339399367877,0.9810252935076609,0.9943124152036732,0.9560865500370629,0.9846510270274583,0.9980275380523599,0.9843111145099772,0.9982190392301272,0.9975679352257182,0.982384943577585,0.9844999547974667,0.984046738107492,0.9991382448834104,0.9968402307502022,0.983064768612547,0.997874337110146,0.9810630615651589,0.9991382448834104,0.9968785309857556,0.9980658382879133,0.9539129562311063
7316-3047,0.9712073594994056,0.99739563385676,0.9851231463700176,0.9989276139410189,0.9982190392301271,1.0,0.9986978169283801,0.9984680199157412,0.9995404059747224,0.9601943062009654,0.9954040597472233,0.9977786288778246,0.996016851780927,0.9842167303482081,0.9844433343536605,0.9992340099578706,0.9841411956797239,0.9975488318651858,0.9839145916742715,0.9853497503754699,0.9993872079662967,0.947685001945447,0.9960934507851399,0.9393048577529267,0.9994638069705095,0.9995404059747224,0.9980850248946765,0.998851014936806,0.9984680199157412,0.971878443279482,0.9851231463700176,0.9793825115652238,0.9976254308693989,0.963378048731848,0.9619302949061663,0.9993106089620837,0.9842167303482081,0.9588663347376485,0.9990042129452318,0.9616238988893145,0.9992340099578706,0.9843677996851763,0.96254308693987,0.9833103143263984,0.9981616238988894,0.9841411956797239,0.9840656610112399,0.9716547486861232,0.9983914209115283,0.9992340099578706,0.9845188690221446,0.9847454730275971,0.998774415932593,0.9716547486861232,0.9991574109536577,0.961087705859824,0.9761619954751066,0.9851231463700176,0.9980850248946765,0.9990042129452318,0.9704617108548763,0.9970126388356952,0.9980850248946765,0.9983148219073154,0.983612453000335,0.982403898304589,0.9986978169283801,0.9957870547682881,0.983008175652462,0.9968594408272694,0.9587943912364305,0.9848965423645653,0.9996170049789354,0.9845944036906287,0.998851014936806,0.9989276139410189,0.9841411956797239,0.9847454730275971,0.9853497503754699,0.9981616238988894,0.9983148219073154,0.9846699383591128,0.9990808119494448,0.9838390570057873,0.998851014936806,0.9983914209115283,0.998851014936806,0.9569523978620426
7316-3079,0.9702380162615175,0.9973190348525471,0.9844433343536605,0.9984680199157412,0.9987552425278757,0.9986978169283801,1.0,0.9981616238988894,0.9986212179241671,0.96012062646599,0.9957870547682881,0.9979318268862507,0.9967062428188435,0.9842167303482081,0.9847454730275971,0.9986978169283801,0.9833858489948827,0.9971658368441211,0.9842922650166922,0.9842922650166922,0.9989276139410189,0.9481222268598395,0.9957870547682881,0.9393048577529267,0.998774415932593,0.9991574109536577,0.9978552278820376,0.9989276139410189,0.9982382229031023,0.9696414973458941,0.9843677996851763,0.9796846502391604,0.9972424358483342,0.9635271784607539,0.9592493297587131,0.9991574109536577,0.983536918331851,0.9561853695901954,0.9993872079662967,0.9588663347376485,0.9990808119494448,0.9843677996851763,0.9596323247797779,0.983612453000335,0.998851014936806,0.9841411956797239,0.9840656610112399,0.9714310540927645,0.9986978169283801,0.9993106089620837,0.9845944036906287,0.9849720770330493,0.9984680199157412,0.9719530081439348,0.9983148219073154,0.9584833397165837,0.9779895772862653,0.9850476117015334,0.9986978169283801,0.9992340099578706,0.9704617108548763,0.9972424358483342,0.9980084258904636,0.9982382229031023,0.9842922650166922,0.9822528289676207,0.9980084258904636,0.9964764458062045,0.9834613836633668,0.9965530448104176,0.9583523128265775,0.9839901263427556,0.9990042129452318,0.9846699383591128,0.9992340099578706,0.9986978169283801,0.9844433343536605,0.9851231463700176,0.9848965423645653,0.9983914209115283,0.998851014936806,0.9846699383591128,0.9990042129452318,0.9831592449894303,0.9993872079662967,0.998774415932593,0.9983148219073154,0.956731358657116
7316-3155,0.9712073594994056,0.996016851780927,0.9839901263427556,0.9993872079662967,0.9967636302790953,0.9984680199157412,0.9981616238988894,1.0,0.9989276139410189,0.9604153454058919,0.9935656836461126,0.9965530448104176,0.9954040597472233,0.9826305023100413,0.983612453000335,0.9981616238988894,0.9839145916742715,0.998774415932593,0.9848210076960812,0.9842922650166922,0.9991574109536577,0.9490695475076897,0.9941784756798163,0.9417095947820847,0.9985446189199542,0.9980084258904636,0.9962466487935658,0.9989276139410189,0.9990042129452318,0.9706108405837822,0.9845188690221446,0.9772675408476682,0.996016851780927,0.961215667662713,0.9571811566449636,0.9990808119494448,0.9848965423645653,0.9542703944848718,0.9977786288778246,0.956721562619686,0.9982382229031023,0.983008175652462,0.9579471466870932,0.9845944036906287,0.9990042129452318,0.9849720770330493,0.9848210076960812,0.9726240919240113,0.9993106089620837,0.9992340099578706,0.9833858489948827,0.9848965423645653,0.9973190348525471,0.9724003973306524,0.9981616238988894,0.9564151666028342,0.9835500921585144,0.9850476117015334,0.9979318268862507,0.9993106089620837,0.971878443279482,0.9950976637303716,0.9990808119494448,0.9983914209115283,0.9826305023100413,0.9836879876688192,0.9969360398314823,0.9943316736882422,0.9845188690221446,0.9978552278820376,0.9598995872610635,0.9833858489948827,0.998774415932593,0.9840656610112399,0.9983914209115283,0.9992340099578706,0.9846699383591128,0.9842167303482081,0.9848965423645653,0.9966296438146306,0.9984680199157412,0.9851986810385017,0.9993106089620837,0.9845944036906287,0.9980850248946765,0.9986978169283801,0.9978552278820376,0.958868070971406
7316-3158,0.9713564892283114,0.9969360398314823,0.9851231463700176,0.9994638069705095,0.9976828359323785,0.9995404059747224,0.9986212179241671,0.9989276139410189,1.0,0.960562704875843,0.99479126771352,0.9977786288778246,0.9963232477977788,0.9836879876688192,0.9842167303482081,0.9990808119494448,0.9843677996851763,0.9977786288778246,0.9843677996851763,0.9851986810385017,0.9994638069705095,0.9480493560407741,0.9954806587514363,0.9396692118482538,0.9991574109536577,0.9990042129452318,0.9972424358483342,0.9991574109536577,0.9984680199157412,0.9716547486861232,0.9849720770330493,0.9788537688858349,0.9970126388356952,0.9626324000873188,0.9598621217924168,0.9993872079662967,0.9842922650166922,0.9568747606281118,0.998774415932593,0.9594791267713522,0.9993872079662967,0.9841411956797239,0.9605515128303332,0.9838390570057873,0.9983148219073154,0.9843677996851763,0.9842922650166922,0.9721021378728408,0.9986212179241671,0.9993872079662967,0.9844433343536605,0.9850476117015334,0.9981616238988894,0.9719530081439348,0.9992340099578706,0.9590195327460744,0.9765508426689701,0.9846699383591128,0.9984680199157412,0.9993106089620837,0.9710582297704997,0.9964764458062045,0.9986212179241671,0.9985446189199542,0.983612453000335,0.9827060369785255,0.9979318268862507,0.9954040597472233,0.9834613836633668,0.9967828418230564,0.9587943912364305,0.9845944036906287,0.9996936039831484,0.9848965423645653,0.9991574109536577,0.9990042129452318,0.9841411956797239,0.9847454730275971,0.9857274237178906,0.9980084258904636,0.9985446189199542,0.9846699383591128,0.9990808119494448,0.9836879876688192,0.998851014936806,0.998851014936806,0.9989276139410189,0.9573944762718958
7316-3161,0.931432277591597,0.9568787181270672,0.9731902858139732,0.960857423815745,0.9580022598321434,0.9601943062009654,0.96012062646599,0.960415345405892,0.9605627048758432,1.0,0.9540052084630218,0.9583523128265774,0.9558472018374097,0.9717371665697848,0.9723184142674601,0.9596048683211613,0.9455265282027394,0.9611521427556471,0.9458898080137864,0.9728270060029262,0.9612258224906227,0.9549907289051974,0.954447286872875,0.9224672823044406,0.9598995872610634,0.9601943062009654,0.9574681560068712,0.961004783285696,0.9612258224906227,0.9294240302753405,0.9739168454360673,0.9665785932529166,0.9570997573319936,0.949829257470875,0.9139971123713149,0.9611521427556471,0.9456718401271583,0.9403744574925508,0.9597522277911124,0.9433953266265471,0.9604890251408675,0.9718098225319943,0.9448689213260575,0.9458898080137864,0.9611521427556471,0.9458898080137864,0.9460351199382053,0.9611973717432555,0.9611521427556471,0.9611521427556471,0.9432015374120382,0.9747160610203707,0.9587943912364305,0.9612690948616933,0.9594575088512102,0.9426585292767918,0.9435225665437791,0.9724273982107744,0.9598995872610634,0.9609311035507206,0.9578622467359009,0.9566576789221405,0.9613731819605738,0.961004783285696,0.9710106069476908,0.94545387224053,0.9582786330916019,0.9542999274029239,0.94545387224053,0.9605627048758432,0.9180191353649892,0.9725363821540884,0.9607100643457941,0.9737715335116485,0.9605627048758432,0.9612995022255982,0.9456718401271583,0.9445093447318076,0.9744980931337426,0.9582786330916019,0.960857423815745,0.94545387224053,0.9610784630206716,0.9450179364672735,0.9594575088512102,0.9611521427556471,0.9593101493812592,0.9412827781715096
