File,Signature,Contribution
7316-1091,SBS1,7372.67834844255
7316-1091,SBS5,37361.433743501
7316-1091,SBS6,6110.99873328436
7316-1091,SBS7b,1154.22300536843
7316-1091,SBS8,8682.42989426556
7316-1091,SBS9,173.986109249921
7316-1091,SBS10b,1145.77379519588
7316-1091,SBS10d,1140.32431495945
7316-1091,SBS13,759.199467622349
7316-1091,SBS17a,1596.73602083557
7316-1091,SBS19,4350.25205335236
7316-1091,SBS25,349.095582114569
7316-1091,SBS26,8782.00459027417
7316-1091,SBS30,2476.32270345073
7316-1091,SBS32,3905.6189794498
7316-1091,SBS33,4949.58585847226
7316-1091,SBS37,11652.5018716159
7316-1091,SBS39,7672.92727334367
7316-1091,SBS40,34630.1273657928
7316-1091,SBS85,4825.89189969009
7316-1091,SBS87,3197.43900960314
7316-1091,SBS89,25963.1574477172
7316-1091,SBS91,1501.73814575945
7316-1780,SBS1,7297.23613707741
7316-1780,SBS5,32199.402021367
7316-1780,SBS6,7114.95144328722
7316-1780,SBS7b,1712.69729115085
7316-1780,SBS8,8764.23463856255
7316-1780,SBS10b,1341.62323185386
7316-1780,SBS10d,3973.29085040712
7316-1780,SBS13,937.702283840259
7316-1780,SBS17a,1495.12777887699
7316-1780,SBS19,3849.61150052806
7316-1780,SBS26,10178.6081217182
7316-1780,SBS30,964.806910852511
7316-1780,SBS32,3926.49914990654
7316-1780,SBS33,4665.7607148662
7316-1780,SBS37,9971.32604329899
7316-1780,SBS39,4279.55663985117
7316-1780,SBS40,41958.8520367795
7316-1780,SBS85,4311.37637626696
7316-1780,SBS87,3605.32648450066
7316-1780,SBS89,28587.7555164487
7316-1780,SBS91,4420.98099899665
7316-2565,SBS1,7196.05774646827
7316-2565,SBS5,29955.6024865413
7316-2565,SBS6,6813.6131219849
7316-2565,SBS7b,1809.60783127129
7316-2565,SBS8,8316.25716734566
7316-2565,SBS10b,1037.95511829433
7316-2565,SBS10d,3257.83279944639
7316-2565,SBS13,1064.63486063953
7316-2565,SBS17a,1665.33280911919
7316-2565,SBS19,3791.61918962109
7316-2565,SBS26,9920.23140879493
7316-2565,SBS30,841.766251487398
7316-2565,SBS32,4027.09839571531
7316-2565,SBS33,4508.77531144776
7316-2565,SBS37,10663.5120261952
7316-2565,SBS39,5284.26658317825
7316-2565,SBS40,40805.3386442748
7316-2565,SBS84,365.070667938559
7316-2565,SBS85,4841.11117878748
7316-2565,SBS87,3332.19343020406
7316-2565,SBS89,28911.0964375123
7316-2565,SBS91,3616.07122283624
7316-2692,SBS1,7588.70671730392
7316-2692,SBS5,30597.3174907618
7316-2692,SBS6,7175.31755643548
7316-2692,SBS7b,1170.09679718788
7316-2692,SBS8,10584.0591784935
7316-2692,SBS10b,1060.4067916745
7316-2692,SBS10d,3453.87666508833
7316-2692,SBS13,1175.07774675089
7316-2692,SBS17a,1595.34434306819
7316-2692,SBS19,4538.78063082379
7316-2692,SBS26,10870.5006902731
7316-2692,SBS30,2934.62669394127
7316-2692,SBS32,3788.97289281667
7316-2692,SBS33,4578.76655049933
7316-2692,SBS37,11899.4790710485
7316-2692,SBS39,6451.47355353005
7316-2692,SBS40,37577.1025520115
7316-2692,SBS85,4463.17610811603
7316-2692,SBS87,3727.76684818605
7316-2692,SBS89,30480.6606260655
7316-2692,SBS91,3475.9435222496
7316-3027,SBS1,8065.73984824648
7316-3027,SBS5,32913.0251929547
7316-3027,SBS6,9120.60497371565
7316-3027,SBS7b,2182.70269201058
7316-3027,SBS8,9687.95430123742
7316-3027,SBS10b,1006.58701857941
7316-3027,SBS10d,4389.641499215
7316-3027,SBS13,788.540641813101
7316-3027,SBS17a,1519.6334555855
7316-3027,SBS19,4093.08257621533
7316-3027,SBS26,12023.9947437212
7316-3027,SBS30,988.887887519655
7316-3027,SBS32,4331.28303119395
7316-3027,SBS33,5106.70585442801
7316-3027,SBS37,10205.2511880303
7316-3027,SBS39,4403.4678053884
7316-3027,SBS40,43966.9672936459
7316-3027,SBS85,4454.8790077464
